Order_Value,City_Tier,Payment_Type,Return_Count,Is_Verified_Mobile,Is_RTO
7221,Metro City,Credit Card,0,False,0
39739,Rural,Credit Card,5,False,0
14527,Metro City,COD,6,True,0
16140,Rural,COD,6,False,1
2742,Urban,UPI,8,False,1
17061,Rural,COD,4,False,1
15520,Rural,Debit Card,1,True,0
49780,Metro City,Credit Card,2,False,0
35901,Rural,COD,9,False,1
33447,Urban,Debit Card,8,True,0
46567,Urban,Net Banking,2,True,0
27976,Rural,COD,0,True,0
21290,Rural,COD,2,False,1
6134,Metro City,COD,0,False,0
11853,Urban,COD,2,False,0
30541,Rural,COD,1,True,0
24148,Urban,COD,5,False,0
37239,Urban,Credit Card,8,True,0
44166,Metro City,Net Banking,2,False,0
12835,Rural,COD,2,True,0
1161,Metro City,Credit Card,2,True,0
40355,Metro City,Net Banking,8,False,0
43395,Rural,COD,8,False,1
41828,Metro City,Net Banking,3,False,0
48673,Urban,UPI,7,True,0
28018,Urban,Credit Card,3,False,0
30993,Metro City,COD,8,True,1
31327,Metro City,COD,5,True,1
23445,Metro City,Credit Card,6,True,0
21744,Metro City,COD,9,False,1
25009,Metro City,COD,5,True,1
18653,Metro City,Credit Card,5,False,0
18858,Rural,UPI,7,False,0
49623,Rural,Debit Card,0,False,0
33669,Urban,UPI,8,False,0
30451,Rural,Debit Card,10,False,0
11496,Metro City,Net Banking,5,True,0
19796,Rural,Credit Card,3,False,0
40976,Urban,COD,2,True,0
36729,Rural,UPI,5,False,0
15095,Rural,Debit Card,9,False,0
47799,Urban,UPI,6,False,0
26201,Urban,Net Banking,3,True,0
26534,Metro City,Debit Card,10,True,0
34156,Rural,COD,5,False,1
24383,Metro City,COD,9,True,1
30625,Metro City,Debit Card,9,True,0
9593,Urban,COD,9,True,1
7793,Metro City,Net Banking,2,False,0
12146,Metro City,Credit Card,6,False,0
23527,Metro City,COD,2,False,1
21362,Urban,Credit Card,10,False,0
5719,Rural,Debit Card,2,False,0
44739,Rural,Net Banking,9,False,0
3983,Metro City,COD,8,False,1
16610,Rural,COD,10,False,1
6886,Rural,UPI,0,True,0
27730,Urban,COD,0,False,1
35498,Rural,COD,10,True,1
40947,Rural,Debit Card,1,False,0
7508,Urban,Credit Card,8,True,0
30915,Rural,UPI,3,True,0
2740,Urban,Debit Card,0,False,0
45555,Rural,UPI,3,False,0
24169,Urban,UPI,5,False,0
19156,Urban,Net Banking,3,True,0
16787,Metro City,Credit Card,5,True,1
22224,Urban,Debit Card,2,False,0
43188,Metro City,Debit Card,4,True,0
21756,Rural,Debit Card,2,False,0
24416,Metro City,Debit Card,5,True,0
32625,Urban,UPI,10,False,0
24835,Urban,COD,3,True,1
45649,Rural,Credit Card,4,True,0
18780,Rural,Credit Card,10,False,0
24038,Metro City,Credit Card,6,False,0
37475,Metro City,Debit Card,7,False,1
44332,Rural,Net Banking,10,False,0
48297,Urban,UPI,10,True,0
26029,Urban,Credit Card,7,True,0
48737,Metro City,COD,8,True,1
47204,Urban,Debit Card,1,False,0
40632,Metro City,COD,2,False,1
22730,Urban,Net Banking,5,False,0
49098,Metro City,COD,5,True,1
4138,Metro City,COD,0,False,1
31201,Rural,COD,2,False,0
42614,Urban,Debit Card,3,True,0
15381,Urban,Net Banking,4,True,0
5718,Urban,UPI,0,True,0
49761,Rural,Net Banking,10,True,0
20268,Urban,Debit Card,1,False,0
5367,Urban,Debit Card,8,False,0
38217,Rural,Net Banking,5,False,0
15326,Metro City,Debit Card,9,False,1
3387,Metro City,UPI,5,True,0
34785,Urban,COD,9,False,0
17131,Rural,Debit Card,2,False,0
13749,Urban,COD,5,False,1
21908,Metro City,Debit Card,7,True,0
32653,Metro City,Net Banking,3,True,0
15697,Metro City,UPI,9,False,0
32975,Rural,Net Banking,0,False,0
14817,Urban,UPI,7,False,0
21665,Metro City,Net Banking,10,True,0
25314,Urban,COD,5,True,1
18457,Metro City,Credit Card,9,False,0
42464,Metro City,COD,6,False,1
12866,Urban,COD,6,False,1
22906,Rural,COD,4,False,1
43757,Rural,COD,2,True,0
31513,Urban,COD,6,True,1
5710,Metro City,Credit Card,9,True,1
33859,Metro City,Net Banking,9,False,0
5609,Urban,COD,8,True,1
18954,Urban,COD,0,False,1
27603,Metro City,Debit Card,9,False,0
25950,Metro City,Debit Card,3,False,0
17942,Urban,Credit Card,2,False,0
24997,Metro City,Credit Card,2,True,0
2151,Rural,COD,5,True,1
14616,Urban,UPI,9,True,0
30945,Urban,Net Banking,8,False,0
44541,Metro City,COD,8,False,0
31786,Metro City,COD,2,False,0
18935,Rural,COD,3,False,1
25841,Urban,Net Banking,6,True,0
15824,Urban,Debit Card,4,False,0
14464,Metro City,Net Banking,6,False,0
21719,Urban,Credit Card,1,True,0
19627,Urban,UPI,2,False,0
49396,Rural,UPI,9,False,0
28102,Urban,Debit Card,3,True,0
8878,Rural,UPI,1,False,0
5314,Urban,UPI,4,True,0
10303,Rural,Credit Card,2,True,0
23145,Rural,COD,9,True,1
6630,Metro City,COD,10,True,1
23609,Rural,Credit Card,7,False,0
28535,Urban,COD,7,True,1
21221,Urban,Credit Card,1,True,0
6146,Urban,UPI,0,False,0
3786,Urban,Debit Card,6,False,0
31435,Urban,COD,0,True,0
34839,Rural,Debit Card,3,False,0
43665,Metro City,COD,1,False,1
10276,Rural,Credit Card,1,True,0
44397,Metro City,Debit Card,6,False,0
16468,Urban,Debit Card,4,False,0
35409,Metro City,COD,2,True,0
5009,Rural,Debit Card,4,True,0
27420,Rural,Net Banking,4,False,0
6501,Urban,UPI,9,True,0
14297,Metro City,Net Banking,6,True,0
14030,Metro City,Debit Card,8,True,0
32496,Rural,COD,8,False,1
43016,Urban,Debit Card,1,True,0
30471,Rural,COD,5,True,1
16137,Urban,Credit Card,9,True,0
44838,Rural,Net Banking,2,True,0
38058,Rural,COD,2,False,1
43109,Rural,UPI,8,False,0
25956,Rural,COD,9,True,0
26209,Metro City,Debit Card,2,True,0
26168,Rural,Credit Card,6,True,0
6950,Urban,UPI,4,True,0
33604,Rural,COD,3,True,1
27734,Rural,Net Banking,1,True,0
35564,Urban,Credit Card,5,True,0
13887,Rural,UPI,1,True,0
39726,Urban,COD,1,False,0
46836,Urban,COD,1,False,0
6005,Rural,COD,8,True,1
27524,Rural,UPI,7,True,0
24933,Rural,UPI,0,False,0
34431,Metro City,Debit Card,10,True,0
38848,Rural,Debit Card,3,False,0
47954,Rural,UPI,4,True,0
33603,Rural,Credit Card,9,True,0
1776,Urban,Debit Card,2,False,0
10965,Rural,Net Banking,10,True,0
8968,Metro City,Credit Card,1,False,0
5006,Rural,UPI,1,True,0
2462,Rural,COD,6,False,1
35902,Metro City,UPI,10,True,0
21837,Metro City,Credit Card,2,True,0
35905,Rural,COD,10,True,1
48832,Urban,UPI,3,True,0
24564,Urban,Net Banking,5,False,0
40257,Metro City,UPI,9,True,0
36753,Metro City,UPI,9,True,0
12617,Urban,UPI,4,False,0
17394,Rural,Debit Card,5,True,0
33058,Urban,UPI,8,False,0
5646,Metro City,UPI,5,True,0
24451,Urban,Debit Card,7,True,0
20789,Urban,Net Banking,5,True,0
8916,Rural,UPI,6,True,0
38350,Metro City,Debit Card,3,False,0
39405,Urban,Credit Card,10,False,0
30081,Metro City,Net Banking,8,True,0
35225,Metro City,Debit Card,1,False,0
31389,Rural,Debit Card,9,True,0
8952,Urban,UPI,1,True,0
14451,Rural,UPI,9,False,0
13808,Rural,COD,6,False,1
30537,Rural,UPI,6,True,0
29560,Urban,UPI,3,True,0
26466,Rural,COD,2,True,0
45953,Urban,Net Banking,3,False,0
40164,Urban,COD,8,True,1
35117,Rural,Net Banking,7,False,0
37993,Rural,Debit Card,8,False,0
21116,Metro City,Credit Card,5,True,0
26080,Urban,Credit Card,3,True,0
1990,Urban,Debit Card,7,False,0
31681,Urban,Credit Card,8,False,0
37769,Urban,COD,1,True,0
38825,Metro City,Credit Card,10,False,0
35898,Metro City,UPI,7,True,0
42470,Urban,COD,2,True,0
45288,Urban,Debit Card,2,False,0
1237,Rural,COD,10,True,1
49473,Urban,Net Banking,10,False,0
21720,Rural,Debit Card,1,False,0
35937,Metro City,COD,2,True,0
44579,Metro City,UPI,9,False,0
38980,Metro City,Net Banking,4,True,0
25147,Rural,Credit Card,7,True,0
39530,Metro City,COD,0,False,0
36171,Metro City,UPI,1,True,0
35011,Rural,COD,9,False,1
3307,Metro City,COD,3,False,0
11246,Rural,UPI,5,True,0
41383,Metro City,Net Banking,2,False,1
10235,Urban,Net Banking,7,False,0
11604,Rural,COD,6,False,1
39643,Metro City,COD,10,True,0
37325,Urban,UPI,3,False,0
30317,Metro City,COD,10,True,1
4369,Rural,UPI,3,True,0
38247,Urban,Net Banking,9,False,0
45306,Rural,COD,7,True,1
25367,Metro City,COD,4,True,1
18388,Metro City,COD,9,True,1
3192,Urban,COD,9,True,1
42743,Rural,COD,1,True,0
17580,Urban,Credit Card,5,True,0
36754,Metro City,COD,1,False,0
14963,Metro City,Credit Card,2,False,0
37978,Urban,UPI,5,True,0
13792,Urban,Net Banking,1,True,0
33529,Metro City,UPI,9,False,0
18090,Urban,COD,8,True,1
14032,Rural,UPI,7,False,0
992,Metro City,UPI,2,True,0
44836,Urban,Debit Card,9,True,0
10682,Rural,Debit Card,0,False,0
33782,Rural,COD,5,True,1
32533,Urban,COD,7,True,1
21402,Urban,Debit Card,8,True,0
26344,Rural,COD,8,False,0
22663,Rural,COD,8,True,1
43439,Metro City,Credit Card,9,False,0
37519,Metro City,COD,2,False,0
12484,Rural,Debit Card,10,True,0
4411,Rural,UPI,3,True,0
25571,Urban,COD,8,False,1
42098,Metro City,Net Banking,6,False,0
27239,Metro City,UPI,2,False,0
30860,Rural,Debit Card,10,False,0
44104,Rural,Net Banking,5,False,0
41987,Urban,COD,8,True,1
16030,Urban,COD,10,True,1
45391,Metro City,Debit Card,8,False,0
39261,Rural,Debit Card,8,False,0
32089,Urban,UPI,7,True,0
47601,Metro City,Credit Card,0,True,0
23021,Metro City,COD,2,False,0
45402,Rural,Debit Card,2,True,0
13532,Metro City,COD,1,True,0
45371,Urban,Credit Card,6,False,0
30240,Metro City,COD,3,True,0
11267,Metro City,Net Banking,4,False,0
5971,Rural,Credit Card,4,False,0
12163,Metro City,Debit Card,4,False,0
29746,Rural,UPI,0,True,0
43091,Rural,Credit Card,7,True,0
30419,Rural,UPI,5,False,0
43743,Rural,Debit Card,0,True,0
9243,Metro City,Net Banking,9,True,0
11135,Metro City,Debit Card,4,False,0
23790,Metro City,Net Banking,6,False,0
40118,Rural,COD,5,False,1
25093,Metro City,COD,5,True,1
41137,Metro City,Debit Card,2,False,0
30687,Metro City,COD,10,True,1
14872,Rural,Net Banking,8,True,0
48729,Rural,COD,3,True,0
2036,Metro City,Net Banking,8,False,0
16307,Urban,Debit Card,6,False,0
41135,Metro City,Debit Card,5,False,0
12460,Metro City,Net Banking,5,True,0
47792,Urban,Net Banking,3,False,0
10809,Metro City,UPI,7,True,0
34803,Metro City,COD,6,False,1
23133,Urban,COD,4,True,1
9652,Rural,Net Banking,8,False,0
42308,Urban,UPI,4,True,1
16211,Rural,UPI,5,True,0
29472,Metro City,COD,2,True,0
36831,Urban,UPI,8,False,1
26548,Rural,Debit Card,1,False,0
19233,Urban,UPI,4,True,0
22983,Metro City,COD,7,True,1
24665,Urban,COD,6,True,1
1731,Metro City,COD,3,False,0
14885,Urban,Debit Card,0,True,0
33858,Rural,COD,10,False,1
44074,Metro City,COD,4,False,0
18858,Rural,COD,10,True,1
2882,Metro City,Net Banking,10,False,0
28927,Rural,Credit Card,4,False,0
40007,Metro City,Credit Card,10,True,1
30674,Urban,UPI,3,True,0
47388,Metro City,Credit Card,3,True,0
1590,Rural,Debit Card,4,False,0
7248,Rural,Credit Card,5,True,0
37369,Metro City,COD,4,False,1
32612,Metro City,UPI,4,False,0
43891,Metro City,UPI,9,False,0
42961,Urban,Credit Card,4,False,0
36926,Urban,Net Banking,2,True,1
6884,Metro City,Credit Card,4,True,0
22070,Urban,UPI,1,False,0
6814,Urban,Debit Card,3,False,0
47160,Metro City,COD,2,True,0
4477,Rural,Net Banking,4,False,1
36134,Urban,Net Banking,8,True,0
15427,Urban,UPI,6,True,0
18911,Rural,Net Banking,8,True,0
29554,Metro City,COD,5,False,1
16723,Metro City,UPI,5,False,0
23847,Rural,COD,1,True,0
46818,Urban,Debit Card,10,False,0
8412,Metro City,Debit Card,7,True,0
45738,Rural,Net Banking,9,True,0
43749,Rural,COD,2,False,1
2776,Metro City,UPI,6,True,0
14765,Urban,Credit Card,10,False,0
35822,Metro City,Credit Card,2,True,0
49608,Metro City,Net Banking,9,True,0
13473,Rural,COD,8,True,1
35911,Metro City,Debit Card,9,False,0
49114,Metro City,Net Banking,1,True,0
25191,Rural,Credit Card,10,False,0
47371,Metro City,COD,5,False,1
34888,Rural,COD,8,False,1
27917,Rural,COD,8,True,1
28249,Metro City,Credit Card,7,False,0
38325,Rural,UPI,0,True,0
30946,Urban,UPI,5,False,0
23644,Urban,COD,0,False,0
16947,Metro City,COD,5,True,1
18971,Urban,Debit Card,9,True,0
45184,Urban,Net Banking,4,True,0
7725,Metro City,Debit Card,9,True,0
33798,Metro City,Credit Card,6,True,0
31533,Metro City,COD,8,False,1
25582,Metro City,COD,3,True,0
49726,Rural,COD,6,True,1
25285,Rural,Credit Card,6,True,0
1778,Urban,UPI,3,True,0
5864,Urban,COD,9,False,1
5926,Urban,Credit Card,1,False,0
45789,Rural,Credit Card,1,True,0
26147,Urban,COD,8,True,1
45768,Metro City,COD,6,True,1
22430,Rural,Net Banking,6,False,0
29933,Metro City,COD,8,True,1
22919,Urban,COD,8,False,1
26130,Urban,Credit Card,0,False,0
20786,Metro City,Debit Card,5,True,0
40275,Rural,Credit Card,10,True,0
10661,Metro City,COD,0,False,1
18711,Urban,COD,10,False,0
28082,Urban,UPI,9,True,0
26408,Urban,COD,4,False,1
18148,Urban,Credit Card,3,False,0
30126,Urban,COD,3,True,1
20318,Urban,COD,0,False,1
41552,Metro City,Net Banking,0,False,0
48345,Rural,Credit Card,6,True,0
48617,Metro City,UPI,9,True,0
42742,Metro City,Credit Card,3,True,0
31136,Metro City,Debit Card,5,True,0
40387,Metro City,COD,10,False,0
39840,Metro City,Credit Card,5,False,1
4143,Metro City,Net Banking,6,False,0
4800,Urban,UPI,3,False,0
45561,Metro City,UPI,4,True,0
7495,Urban,COD,6,True,1
43452,Rural,Debit Card,6,False,0
31139,Rural,UPI,10,False,0
41261,Rural,COD,9,True,1
6087,Urban,Net Banking,3,True,0
10992,Metro City,UPI,4,True,0
9251,Metro City,UPI,0,True,0
30900,Metro City,Net Banking,0,False,0
46164,Urban,Net Banking,8,True,0
30311,Rural,Debit Card,9,True,0
4967,Metro City,Debit Card,6,True,0
38896,Urban,Credit Card,8,False,0
44635,Urban,COD,5,False,1
40886,Urban,Debit Card,9,True,0
40037,Urban,COD,4,True,0
16138,Urban,Credit Card,5,False,0
37942,Metro City,Credit Card,6,False,0
15776,Rural,UPI,9,False,0
34707,Rural,COD,4,False,1
36713,Metro City,Credit Card,8,False,0
30748,Urban,COD,2,True,0
10090,Rural,COD,0,False,1
49774,Urban,Credit Card,8,True,0
28476,Metro City,Net Banking,0,False,0
2206,Urban,COD,0,True,0
42581,Metro City,COD,2,False,0
8554,Urban,Net Banking,1,False,0
5844,Rural,COD,8,True,1
33301,Urban,Net Banking,3,True,0
39763,Metro City,COD,2,True,1
42462,Metro City,COD,9,True,1
27128,Urban,Debit Card,9,False,0
25952,Metro City,Debit Card,5,True,0
31028,Metro City,COD,7,False,1
14863,Urban,COD,9,True,1
5202,Rural,COD,8,False,0
12700,Metro City,COD,8,True,1
15719,Metro City,Debit Card,2,False,0
35119,Metro City,Debit Card,6,True,0
43645,Urban,Credit Card,1,True,0
33931,Urban,Debit Card,3,True,0
30214,Urban,COD,0,True,1
9977,Urban,Credit Card,2,True,0
25800,Urban,Credit Card,3,True,0
40615,Metro City,UPI,4,False,0
14652,Metro City,Debit Card,7,True,0
41674,Rural,COD,10,True,1
34219,Rural,Debit Card,6,True,0
27897,Rural,COD,7,True,1
37885,Rural,Debit Card,4,True,0
33405,Metro City,Debit Card,7,False,0
41909,Urban,Credit Card,8,False,0
30710,Urban,Credit Card,9,True,0
36651,Urban,Credit Card,0,False,0
20778,Rural,Net Banking,8,True,0
23946,Rural,Credit Card,1,False,0
16202,Metro City,Credit Card,8,True,0
14857,Metro City,Credit Card,4,False,0
38458,Urban,UPI,9,True,0
36806,Metro City,COD,7,False,1
12761,Rural,COD,7,False,1
21325,Rural,COD,8,True,1
44549,Rural,COD,9,True,1
17482,Metro City,UPI,2,True,0
35424,Rural,Net Banking,7,True,0
12117,Rural,COD,5,True,1
3018,Rural,COD,10,False,1
1102,Rural,Net Banking,3,False,0
46685,Rural,Net Banking,0,True,0
31853,Metro City,Debit Card,7,True,0
38901,Rural,UPI,8,True,0
9149,Urban,UPI,7,True,0
24980,Metro City,UPI,1,True,1
28035,Rural,UPI,9,False,0
40336,Rural,Credit Card,8,True,0
30671,Rural,COD,8,False,1
23905,Metro City,Debit Card,7,False,0
16948,Metro City,Net Banking,10,True,0
22912,Rural,Net Banking,0,False,0
813,Urban,Net Banking,4,True,0
38478,Urban,COD,7,False,0
28099,Rural,Debit Card,5,False,0
10470,Urban,COD,9,True,1
6843,Urban,Debit Card,10,True,0
19572,Metro City,COD,9,True,1
9940,Rural,COD,0,False,0
27070,Rural,COD,9,False,1
42481,Rural,UPI,4,False,0
27988,Urban,COD,9,False,1
3715,Metro City,COD,6,False,1
5244,Rural,Net Banking,3,True,0
47912,Metro City,COD,9,False,0
44406,Urban,COD,9,False,1
15214,Rural,Credit Card,2,True,0
26653,Urban,Net Banking,6,False,0
37777,Urban,Credit Card,10,True,0
35425,Metro City,COD,4,False,1
36264,Metro City,Debit Card,6,False,0
36760,Rural,Net Banking,1,False,0
13171,Urban,COD,7,True,1
9596,Metro City,UPI,9,True,0
48543,Metro City,COD,10,False,1
31787,Metro City,UPI,9,True,0
37825,Rural,Net Banking,10,True,0
11918,Rural,COD,1,False,1
36621,Urban,Debit Card,5,True,0
21179,Rural,Credit Card,0,False,0
9654,Rural,COD,10,True,1
9458,Rural,Debit Card,9,False,0
44913,Rural,UPI,2,True,0
5253,Rural,COD,3,False,1
40268,Urban,Credit Card,7,True,0
32080,Rural,Net Banking,5,False,0
46269,Rural,Net Banking,9,False,0
8756,Urban,COD,5,False,1
18733,Urban,UPI,7,False,0
47193,Metro City,COD,7,False,1
33630,Urban,Net Banking,4,True,0
1119,Urban,UPI,9,False,0
36328,Metro City,UPI,3,True,0
16552,Metro City,UPI,8,False,0
26032,Metro City,COD,9,True,0
17714,Urban,UPI,8,False,0
26989,Metro City,Net Banking,3,True,0
27990,Urban,COD,10,False,1
9131,Rural,Debit Card,1,True,0
41836,Metro City,COD,7,True,1
7416,Rural,COD,4,False,1
24064,Rural,Net Banking,9,False,0
20774,Rural,Net Banking,8,True,1
8791,Urban,Net Banking,0,False,0
44805,Metro City,Net Banking,4,True,0
14291,Urban,Credit Card,7,True,0
7458,Rural,Credit Card,0,False,0
44343,Metro City,COD,9,True,1
6418,Urban,Credit Card,9,True,0
2879,Metro City,COD,7,True,0
24810,Metro City,COD,1,False,0
47369,Rural,COD,2,False,0
48962,Rural,UPI,4,True,0
10542,Metro City,COD,5,True,1
44020,Metro City,UPI,3,False,0
15627,Rural,COD,5,True,1
44657,Urban,COD,2,True,0
507,Urban,COD,6,False,1
830,Rural,UPI,9,True,0
28166,Metro City,Debit Card,6,True,0
13306,Metro City,Debit Card,7,True,0
20827,Rural,Credit Card,2,True,0
41827,Metro City,COD,4,True,1
18033,Rural,UPI,4,False,0
16384,Rural,Net Banking,5,False,0
48142,Urban,Debit Card,5,False,0
5361,Urban,COD,4,False,1
15434,Urban,Net Banking,3,False,0
2178,Urban,UPI,1,True,0
5141,Metro City,COD,0,False,1
9238,Urban,Credit Card,10,False,0
5269,Rural,Credit Card,10,False,0
18597,Urban,UPI,8,True,0
21634,Urban,Net Banking,4,False,0
45956,Metro City,Net Banking,0,False,0
33532,Rural,Net Banking,5,False,0
38400,Metro City,COD,2,True,0
16295,Rural,COD,6,False,1
1885,Rural,Credit Card,8,True,0
6684,Metro City,UPI,6,False,0
34601,Metro City,COD,9,True,1
46280,Metro City,Net Banking,3,True,1
14317,Metro City,Net Banking,10,True,0
3228,Rural,Debit Card,10,True,0
42852,Urban,COD,9,False,1
23309,Rural,Net Banking,0,True,0
26241,Rural,UPI,9,False,0
13817,Rural,COD,3,True,0
44480,Rural,COD,1,False,1
25912,Rural,COD,0,False,1
33483,Rural,Debit Card,2,False,0
35340,Urban,COD,9,True,1
32069,Rural,UPI,4,True,0
47620,Rural,Debit Card,10,False,0
29447,Urban,Net Banking,9,False,0
31815,Rural,Net Banking,8,False,0
33643,Rural,Debit Card,5,False,0
2469,Urban,Debit Card,2,False,0
1845,Metro City,COD,4,False,1
1787,Urban,UPI,10,False,0
38178,Rural,Credit Card,8,True,0
35569,Urban,COD,10,False,1
42413,Urban,UPI,4,True,0
34416,Urban,Net Banking,8,True,0
32142,Urban,UPI,3,False,0
10982,Metro City,COD,10,False,1
20183,Metro City,UPI,8,True,0
34024,Rural,Credit Card,8,True,0
7870,Rural,Debit Card,6,True,0
10751,Metro City,COD,9,False,1
34622,Rural,COD,6,False,1
45303,Metro City,Credit Card,4,False,0
15024,Metro City,Debit Card,1,False,0
33273,Urban,UPI,4,False,0
12409,Metro City,Debit Card,10,True,0
30146,Rural,COD,0,True,0
47388,Urban,UPI,9,True,0
18711,Metro City,Debit Card,10,False,0
14324,Rural,Credit Card,1,False,0
31161,Urban,UPI,8,False,0
45835,Rural,COD,7,True,1
18530,Rural,Net Banking,4,True,0
15079,Urban,Credit Card,10,True,0
41577,Urban,Debit Card,7,True,0
32745,Metro City,Credit Card,8,False,0
13090,Metro City,Credit Card,9,True,1
29519,Rural,Credit Card,9,False,0
45814,Rural,UPI,6,False,0
33018,Rural,COD,9,False,1
35265,Rural,COD,4,True,1
6948,Rural,COD,8,True,1
39993,Rural,Credit Card,2,True,0
9943,Urban,Net Banking,6,True,0
10393,Rural,Net Banking,6,False,0
28059,Metro City,UPI,3,False,0
3086,Metro City,COD,9,False,0
47318,Metro City,Net Banking,10,False,0
24667,Metro City,Net Banking,5,False,0
7587,Urban,Credit Card,1,True,0
38730,Urban,UPI,2,False,0
13083,Metro City,COD,7,False,1
40932,Metro City,Net Banking,3,True,0
38088,Urban,Net Banking,1,False,0
28756,Rural,Debit Card,7,False,0
41228,Urban,Net Banking,2,True,0
39956,Metro City,COD,0,False,1
48030,Urban,UPI,1,True,0
26046,Urban,Net Banking,6,False,0
49975,Metro City,Net Banking,1,True,0
18561,Urban,Credit Card,3,True,0
42337,Rural,COD,0,True,0
49640,Metro City,Net Banking,6,True,0
24265,Metro City,COD,9,True,1
47892,Rural,Net Banking,2,False,0
7488,Rural,COD,0,False,0
14208,Urban,COD,1,True,0
42909,Metro City,UPI,4,False,0
34312,Metro City,Net Banking,6,False,0
20437,Metro City,Credit Card,7,False,0
14623,Rural,COD,8,False,1
14647,Urban,Credit Card,6,True,0
19111,Rural,Net Banking,0,False,0
36385,Rural,Credit Card,5,True,0
16174,Rural,Net Banking,10,True,0
3271,Urban,Net Banking,10,False,0
11478,Urban,UPI,8,False,0
12232,Rural,COD,3,False,1
29524,Rural,COD,7,True,1
1411,Urban,Debit Card,9,True,0
26946,Metro City,Net Banking,6,True,0
14531,Rural,COD,3,False,1
13018,Metro City,Net Banking,0,True,0
34758,Urban,Debit Card,3,True,0
48527,Rural,Credit Card,5,True,0
906,Rural,COD,0,False,1
